话题链接,话题内容,楼主ID,楼主昵称,楼主性别,发布日期,发布时间,转发量,评论量,点赞量,评论者ID,评论者昵称,评论者性别,评论日期,评论时间,评论内容
话题链接,话题内容,楼主ID,楼主昵称,楼主性别,发布日期,发布时间,转发量,评论量,点赞量,评论者ID,评论者昵称,评论者性别,评论日期,评论时间,评论内容
https://m.weibo.cn/detail/4507051277453392,#张文宏请大家做好有散发病例的心理准备#疫情还在，不容放松。@张文宏医生 表示目前国际上仍处于疫情发展中期，中国处于后期。疫情新常态下，此后各地有偶然散发确诊病例是大概率事件，应做好心理准备。要继续对疫情有敬畏心，要适应勤洗手、在相当长时期内保持适当社交隔离等措施。  上海,3434415032,营养医师郝志军,m,2020/05/21,16:03:43,0,0,1, , , , , , 
https://m.weibo.cn/detail/4507051113564461,据外媒报道，由于受新冠疫情影响，一些代孕婴儿被滞留在乌克兰的一家酒店。里面有中国婴儿、意大利婴儿、西班牙婴儿和英国婴儿，他们都代孕母亲所生，由于乌克兰目前正在封，因此这些婴儿都在等待父母来认领。。。。#乌克兰代孕婴儿的##全球疫情##微风看世界# mj微风的微博视频,5323216117,mj微风,m,2020/05/21,16:03:05,1,1,2, , , , , , 
https://m.weibo.cn/detail/4507042008025495,【#政协会议为战疫牺牲烈士和逝世同胞默哀# 此刻，一起转发！为逝世同胞！】 ,2656274875,央视新闻,m,2020/05/21,15:26:54,3022,819,6231, , , , , , 
 , , , , , , , , , ,2178873290,青年湖南,m,2020/05/21,15:28:03,默哀
 , , , , , , , , , ,5369656393,寻味长春,m,2020/05/21,15:27:25,致敬，一起转发！为逝世同胞！🙏
 , , , , , , , , , ,6722048196,自由自在的花路,f,2020/05/21,15:27:34,默哀！致敬烈士！
 , , , , , , , , , ,7116139167,龏奭嚻艸,f,2020/05/21,15:27:45,致敬所有拼过命的勇士们
 , , , , , , , , , ,7054969522,半世琉璃颠覆了谁的海誓山盟,m,2020/05/21,15:27:45,致敬
 , , , , , , , , , ,5777772279,我家狗子叫王夏天,f,2020/05/21,15:36:46,致敬英雄
 , , , , , , , , , ,6482458541,孤峰弯月,m,2020/05/21,15:30:48,默哀 深切哀悼抗疫烈士和逝世同胞
 , , , , , , , , , ,5631534368,猪猪小兔子唯爱宁哥,m,2020/05/21,15:42:28,缅怀同胞，致敬英雄！！！
 , , , , , , , , , ,5511080157,程煜鑫呀,f,2020/05/21,15:27:27,默哀走好
 , , , , , , , , , ,5251450492,灵玉公子he非雨晓鹤,m,2020/05/21,15:27:17,默哀，致敬
 , , , , , , , , , ,7113033306,兜兜转转是豆豆,f,2020/05/21,15:48:54,一路走好
 , , , , , , , , , ,7113033306,兜兜转转是豆豆,f,2020/05/21,15:48:44,像英雄致敬
 , , , , , , , , , ,7353061974,Nene-郑乃馨冲鸭,f,2020/05/21,15:27:54,为逝者默哀。
 , , , , , , , , , ,5184832583,私藏甜姜,f,2020/05/21,15:27:34,默哀，致敬
 , , , , , , , , , ,6528305816,一品莓气,f,2020/05/21,15:27:34,默哀，致敬
 , , , , , , , , , ,6118448192,Angel的小仙女,f,2020/05/21,15:28:48,致敬
 , , , , , , , , , ,6977478612,买杏鲍菇kk,f,2020/05/21,16:18:54,默哀
 , , , , , , , , , ,6941922728,邪恶的小奈子,f,2020/05/21,16:16:17,默哀深切哀悼抗疫烈士和逝世同胞
 , , , , , , , , , ,7309704613,Lyphardo,f,2020/05/21,16:11:03,默哀
 , , , , , , , , , ,6323010019,小五的故事199305,f,2020/05/21,16:07:26,致敬🙋
https://m.weibo.cn/detail/4507040129019044,#两会2020#全国政协常委会工作报告说，动员政协各级组织、各参加单位和广大委员参与疫情防控斗争。发挥委员移动履职平台、小范围协商座谈、提案办理、反映社情民意信息等作用，就疫情防控、复工复产、稳定社会预期、加强依法治理等积极建言，报送情况反映、意见建议1300多条。 ,1699432410,新华视点,m,2020/05/21,15:19:26,12,6,40, , , , , , 
https://m.weibo.cn/detail/4507051500617682,安倍口罩终于送到了，我的这个还好，外表没什么毛病，黄渍虫子什么都没有，挺白的。但戴上的体验不是很好，首先是有股非常难闻的味道，然后两侧的绳非常的紧，就戴着拍一下照，摘下来时耳根都有些不适了。#日本疫情##海外抗疫日记# ,6334424717,我不是个宅,m,2020/05/21,16:04:37,0,3,5, , , , , , 
https://m.weibo.cn/detail/4507051847914924,#全球疫情##日本疫情# 位于东京都品川区“船之科学馆”的日版“方舱医院”，目前尚未建好，可东京已经空下来近4000张感染床位了，建，还是不建？ ,2390776643,全球疫情播报,m,2020/05/21,16:06:00,4,0,2, , , , , , 
https://m.weibo.cn/detail/4507036798691311,这是德国现状。疫情感染人数分布图。#新华二代在德国##德国##全球疫情# ,1991743625,新华二代在德国_周磊,m,2020/05/21,15:06:12,3,1,9, , , , , , 
https://m.weibo.cn/detail/4507048919706845,【#服用羟氯喹19年的女子确诊新冠#：特朗普令人抓狂 】近日，美国一名因患上狼疮连续服用羟氯喹长达19年的女子站了出来，称羟氯喹对新冠病毒无效：“我就是活生生的例子。”自疫情开始后，金表示自己只会在购买生活用品时出门，不料还是感染了新冠肺炎。明明自己服用了19年羟氯喹都没防住病毒，特朗普却在电视上大夸羟氯喹对病毒有效，“他（特朗普）挺让我抓狂的。” 微丢的微博视频,1887344341,观察者网,m,2020/05/21,15:54:22,78,104,673, , , , , , 
 , , , , , , , , , ,2670991880,阿呆萌萌姐姐,f,2020/05/21,15:55:15,Fake news！next！
 , , , , , , , , , ,1465015371,化小硕,f,2020/05/21,15:55:25,羟氯喹是免疫抑制剂，对普通人来说，是抑制你的免疫力，而不是提高你的免疫力
 , , , , , , , , , ,7115468950,牛牛贾牛牛,f,2020/05/21,15:55:46,特没谱：你这个无礼粗鲁的女人。你服用的是假药
 , , , , , , , , , ,1085304765,大大大大大大大噶桑,f,2020/05/21,15:57:43,特朗普：她吃的假药。
 , , , , , , , , , ,2338711022,happy看比赛,m,2020/05/21,15:57:58,破坏驸马爷和家族生意，Fake News！
 , , , , , , , , , ,6714136359,玲玲振玉,f,2020/05/21,16:04:36,哈哈哈哈哈哈哈，特朗普：我的是真药丸💊，她的是假的
 , , , , , , , , , ,1215348874,李君的世界,m,2020/05/21,15:57:46,惨啊。
 , , , , , , , , , ,2911913913,荷尓蒙,m,2020/05/21,16:03:42,特朗普：这个女人肯定是吃的假药
 , , , , , , , , , ,1781395660,大牛哥runner,m,2020/05/21,16:02:04,特朗普要气晕，不过他本来就是炒作。
 , , , , , , , , , ,5602052025,小肥皮p,m,2020/05/21,16:01:08,我猜川普也有狼疮所以EMMM
 , , , , , , , , , ,6014504832,矢志不渝sky,m,2020/05/21,15:58:34,双厨狂喜！
 , , , , , , , , , ,6107548830,淡淡的粉末,m,2020/05/21,15:57:55,老客户中奖.
